Member,Party,State,Constituency
Abdulaziz Usman,ANPP,Jigawa,Biriniwa / Guri / Kiri Kasama
Jibrin Babangida,ANPP,Jigawa,Hadejia / Auyo / Kafin Hausa
Farouk Cognate,ANPP,Jigawa,Birnin Kudu / Buji
Nasiru Dantiye,ANPP,Jigawa,Garki / Babura
Bashir Adamu,ANPP,Jigawa,Kazaure / Roni / Gwiwa / Yankwashi
Ibrahim Chaicai,ANPP,Jigawa,Dutse / Kiyawa
Ibrahim Garba,ANPP,Jigawa,Gumel / Gagarawa / Magari / Sule
Ado Audu,PDP,Kaduna,Jema'a / Sanga
Muhammed Ibrahim,ANPP,Kaduna,Kaduna North
Joseph Gumbari,PDP,Kaduna,Kaura
Yabuku Barde,PDP,Kaduna,Chikun / Kajuru
Sani Buhari,ANPP,Kaduna,Igabi
Mohammed Shehu,PDP,Kaduna,Birnin Gwari / Giwa
Ruth Ango,PDP,Kaduna,Zangon Kataf / Jaba
Abdulra'uf Tukur,PDP,Kaduna,Soba
Sani Sha'aban,ANPP,Kaduna,Sabon Gari
Yusuf Baba-Ahmed,ANPP,Kaduna,Zaria
Zagi Caleb,PDP,Kaduna,Kachia / Kagarko
Garba Binta,ANPP,Kaduna,Kaduna South
Abdullahi Bakoji,PDP,Kaduna,Makarfi / Kudan
Saudatu Sani,PDP,Kaduna,Lere
Tijani Paki,PDP,Kaduna,Ikara / Kubau
Gwani Gideon,PDP,Kaduna,Kaura
Ahmed Haladu,PDP,Kano,Bichi
Sulaiman Abdurrahaman,ANPP,Kano,Sumaila / Takai
Bako Sarai,PDP,Kano,Dawakin Kudu / Warawa
Jazuli Galadanci,ANPP,Kano,Gwale
Farouk Lawan,PDP,Kano,Bagwai / Shanono
Shehu Yammedi,PDP,Kano,Karaye / Rogo
Balarabe Wakili,ANPP,Kano,Nasarawa
Mohammed Abubakar,ANPP,Kano,Tarauni
Shehu Lambu,PDP,Kano,D / Tofa / Rimin Gado
Ahmed Salik,ANPP,Kano,Dala
Usman Mohammed,ANPP,Kano,Gaya / Albasu / Ajingi
Hamza Gwarzo,ANPP,Kano,Gwarzo / Kabo
Bala Ya'u,ANPP,Kano,Kumbotso
Ada'u Isa Rano,ANPP,Kano,Rano / Kibiya / Bunkure
Wakili Aliyu,ANPP,Kano,Wudil / Garko
Umar El-yakubu,ANPP,Kano,Kano Municipal
Bashir Burum Burum,PDP,Kano,Tugun wada / Doguwa
Umaru Datti Kura,PDP,Kano,Kura / G / Mallam / Madobi
Sanni Saleh Minjibir,ANPP,Kano,Ungogo / Minjibir
Nasiru Gabasawa,ANPP,Kano,Gezawa / Gabasawa
Sirajo Harisu,PDP,Kano,Dambatta / Makoda
Danlami Hamza,ANPP,Kano,Fagge
Hajia Azum Bebeji,ANPP,Kano,Kiru / Bebeji
Adamu Barde Tatsan,PDP,Kano,Tsanyawa / Kunchi
Yusuf Dikko,PDP,Katsina,Batagarawa / Rimi / Charanchi
Usman Mani Nasarawa,PDP,Katsina,Kanka / Ingawa / Kusada
Usman Bagaje,PDP,Katsina,Jibia / Kaita
Idris Tukur Nadabo,ANPP,Katsina,Bakori / Danja
Madabo Bashir Idris,ANPP,Katsina,Funtua / Dandume
Aminu Bello Masari,PDP,Katsina,Malumfashi / Kafur
Aminu Shuaibu Safana,PDP,Katsina,Batsari / Dan Musa / Safana
Hadi Sirika,ANPP,Katsina,Dutsi / Mashi
Shehu Garba,PDP,Katsina,Musawa / Matazu
Lawal Garba,ANPP,Katsina,Daura / Sandamu / Adua
Bashir Bala Koko,ANPP,Kebbi,Koko/Besse / Maiyama
Sani Bawa Argungu,ANPP,Kebbi,Argungu / Augie
Bala Ibn Na'allah,ANPP,Kebbi,Zuru / Sakaba / Dabai / Wasagu
Abdullahi Umar Faruk,ANPP,Kebbi,Birnin Kebbi / Kalgo / Bunza
Ibrahim Bawa Kamba,ANPP,Kebbi,Gwandu / Aliero / Jega
Abubakar Sadiq Digari,ANPP,Kebbi,Suru / Bagudo
Ibrahim Bawa Kamba,ANPP,Kebbi,Arewa / Dandi
Garba Umaru Uba Yauri,ANPP,Kebbi,Yauri / Sanga / Ngaski
Itaka Frank Ineke,ANPP,Kogi,Idah / Ofu / Obaji / Igalamela-Odolu
Isaac Ruzama,ANPP,Kogi,Bassa / Dekina
Okino Moses Ado,ANPP,Kogi,Ajaokuta
Aliju Omeiza Saiki,PDP,Kogi,Adavi / Okehi
Faniyi Joseph Juwon,PDP,Kogi,Yagba
Musa Ibrahim Ahmadu,PDP,Kogi,Lokoja / Kogi
Durosinmi Meseko,PDP,Kogi,Kabba/Bunu / Ijumu
Abdulazeez Idris King,PDP,Kogi,Okene / Ogori/Magongo
Ali Aidoko Atai,PDP,Kogi,Ankpa / Olamaboro / Omala
Ogundairo Ajibade,PDP,Kwara,Asa / Ilorin West
Edun Oladimeji,PDP,Kwara,Ilorin South / Ilorin East
Yahaya Ahmed Yinusa,PDP,Kwara,Edu / Moro / Pategi
Makanjuola Peter,PDP,Kwara,Isin / Ekiti / Irepodun / Oke Ero
Opaleke Jaiye,ANPP,Kwara,Ifelodun / Offa / Oyun
Maimunat Adaji,ANPP,Kwara,Baruten / Kaiama
Abiola Edewor,AD,Lagos,Apapa
Adeyemi Oluwole,AD,Lagos,Somolu
Fancy Akeem Arole,AD,Lagos,Surulere II
Femi Obayomi Davies,AD,Lagos,Ojo
Adeyanju Simon Aderemi,AD,Lagos,Amuwo-Odofin
Tugbobo Aina,AD,Lagos,Ikeja
Adedeji Oyeyemi,AD,Lagos,Alimosho
Femi Gbaja Biamila,AD,Lagos,Surulere I
Abike Dabiri,AD,Lagos,Ikorodu
Olajumoke Okoya-Thomas,AD,Lagos,Lagos Island I
